frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,1658,782,1
17,1658,781,1
18,1658,782,1
19,1671,781,1
20,1658,781,1
21,1658,781,1
22,1658,781,1
23,1658,781,1
24,1658,781,1
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,1185,636,1
29,1221,541,1
30,1237,495,1
31,1246,474,1
32,1252,467,1
33,1260,473,1
34,1182,412,1
35,1103,352,1
36,1024,291,1
37,946,230,1
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,1652,783,1
45,1649,784,1
46,1618,761,1
47,1656,791,1
48,1641,719,1
49,1679,756,1
50,1714,774,1
51,1748,791,1
52,1782,809,1
53,1388,389,1
54,1412,527,1
55,1381,632,1
56,1385,615,1
57,1399,622,1
58,1361,604,1
59,1323,586,1
60,1285,568,1
61,1247,551,1
62,-1,-1,0
63,-1,-1,0
64,-1,-1,0
65,-1,-1,0
66,1508,468,1
67,1541,470,1
68,1559,470,1
69,1590,476,1
70,1607,484,1
71,1639,492,1
72,1671,503,1
73,1663,481,1
74,1695,455,1
75,1742,490,1
76,1742,489,1
77,1770,472,1
78,1783,467,1
79,1811,456,1
80,1831,430,1
81,1849,440,1
82,1896,411,1
83,1952,387,1
84,2007,363,1
85,2063,339,1
86,2118,314,1
87,-1,-1,0
88,-1,-1,0
89,-1,-1,0
90,-1,-1,0
91,-1,-1,0
92,-1,-1,0
93,2020,453,1
94,2020,453,1
95,2067,439,1
96,2106,438,1
97,2054,437,1
98,2054,437,1
99,2075,427,1
100,2075,427,1
101,2087,423,1
102,2087,423,1
103,2108,421,1
104,2108,421,1
105,2146,422,1
106,2185,418,1
107,2224,415,1
108,2262,411,1
109,1680,412,1
110,1680,412,1
111,1681,412,1
112,1681,412,1
113,1681,412,1
114,1680,412,1
115,1680,412,1
116,2232,407,1
117,2232,407,1
118,1468,938,1
119,1468,938,1
120,2261,404,1
121,2262,404,1
122,2300,399,1
123,2339,394,1
124,2378,389,1
125,2416,384,1
126,2455,379,1
127,-1,-1,0
128,-1,-1,0
129,-1,-1,0
130,-1,-1,0
131,-1,-1,0
132,1574,619,1
133,1574,619,1
134,1691,635,1
135,1691,635,1
136,1572,672,1
137,1572,672,1
138,1570,669,1
139,1570,669,1
140,2409,377,1
141,2444,371,1
142,2475,366,1
143,1526,903,1
144,1526,903,1
145,1653,842,1
146,1515,933,1
147,2455,373,1
148,2455,373,1
149,2225,517,1
150,2266,500,1
151,1758,633,1
152,1758,633,1
153,1686,724,1
154,1686,724,1
155,1572,902,1
156,1572,902,1
157,1681,845,1
158,1590,905,1
159,1499,964,1
160,1409,1024,1
161,1318,1083,1
162,-1,-1,0
163,-1,-1,0
164,-1,-1,0
165,-1,-1,0
166,-1,-1,0
167,-1,-1,0
168,-1,-1,0
169,-1,-1,0
170,-1,-1,0
171,-1,-1,0
172,-1,-1,0
173,-1,-1,0
174,-1,-1,0
175,-1,-1,0
176,-1,-1,0
177,-1,-1,0
178,-1,-1,0
179,-1,-1,0
180,-1,-1,0
181,-1,-1,0
182,-1,-1,0
183,-1,-1,0
184,-1,-1,0
185,-1,-1,0
186,-1,-1,0
187,-1,-1,0
188,-1,-1,0
189,-1,-1,0
190,-1,-1,0
191,-1,-1,0
192,-1,-1,0
193,-1,-1,0
194,-1,-1,0
195,-1,-1,0
196,2185,83,1
197,2158,68,1
198,2185,84,1
199,2185,83,1
200,2185,83,1
