frame,x,y,visible
0,2471,1386,1
1,2471,1386,1
2,2471,1386,1
3,2471,1386,1
4,2471,1386,1
5,1662,590,1
6,2471,1386,1
7,2471,1386,1
8,2471,1386,1
9,2471,1386,1
10,2471,1386,1
11,2471,1386,1
12,2471,1386,1
13,2471,1386,1
14,2471,1386,1
15,2471,1386,1
16,898,719,1
17,898,719,1
18,897,719,1
19,898,719,1
20,912,655,1
21,913,655,1
22,2471,1386,1
23,2471,1386,1
24,2471,1386,1
25,915,655,1
26,915,655,1
27,906,655,1
28,906,655,1
29,907,655,1
30,907,655,1
31,921,655,1
32,921,655,1
33,919,655,1
34,919,655,1
35,916,655,1
36,916,655,1
37,909,655,1
38,910,655,1
39,918,655,1
40,918,655,1
41,918,655,1
42,917,655,1
43,905,655,1
44,905,655,1
45,1659,590,1
46,1658,590,1
47,1661,591,1
48,1660,591,1
49,1662,591,1
50,1663,591,1
51,1663,591,1
52,1659,590,1
53,1660,590,1
54,1167,463,1
55,1167,463,1
56,828,656,1
57,828,655,1
58,849,655,1
59,848,655,1
60,2471,1386,1
61,2471,1386,1
62,850,655,1
63,860,655,1
64,841,655,1
65,2139,1237,1
66,2056,1200,1
67,1973,1162,1
68,1890,1125,1
69,1807,1088,1
70,-1,-1,0
71,-1,-1,0
72,-1,-1,0
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,739,884,1
77,618,839,1
78,337,764,1
79,57,689,1
80,-222,614,1
81,-503,539,1
82,-1,-1,0
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,-1,-1,0
87,1657,590,1
88,1114,618,1
89,1114,618,1
90,1109,619,1
91,1677,527,1
92,1676,527,1
93,1676,527,1
94,1677,527,1
95,1678,527,1
96,1683,527,1
97,1683,527,1
98,1684,527,1
99,1684,527,1
100,1686,527,1
101,1686,527,1
102,838,527,1
103,838,527,1
104,840,527,1
105,840,527,1
106,652,451,1
107,592,374,1
108,834,527,1
109,834,527,1
110,836,527,1
111,1662,590,1
112,1663,590,1
113,1669,591,1
114,1669,591,1
115,1669,591,1
116,1670,591,1
117,1666,591,1
118,1666,591,1
119,1670,591,1
120,1670,591,1
121,1670,591,1
122,1671,591,1
123,1666,591,1
124,1666,591,1
125,707,552,1
126,707,552,1
127,707,552,1
128,707,552,1
129,1679,591,1
130,1679,591,1
131,1679,591,1
132,1681,591,1
133,1681,591,1
134,1686,591,1
135,1686,591,1
136,1686,591,1
137,1686,591,1
